SMILES,Activity,QED,MolecularWeight,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,NumRings,WienerIndex,ZagrebIndex,TPSA,BalabanIndex,Kappa1,Kappa2,Kappa3
Br.CS(=O)(=O)N(c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)c1)c1ccccn1,5.34008379993015,0.1867154131362866,693.5860000000002,5.267800000000005,3,6,12,4,inf,222,111.63,5.289984657991796e-06,34.70729658388613,15.286297384948815,9.611729061735446
Brc1ccc(-c2nnc(N3CCN(c4ccccn4)CC3)o2)cc1,6.899629454882437,0.6891537707397699,386.2530000000001,3.220700000000001,0,6,3,4,1525.0,128,58.290000000000006,1.4372844018831348,15.137295119421712,6.604258967706701,3.118945561885981
Brc1ccc(/C=N\C2CCN(Cc3ccccc3)C2)cc1,5.756465898167938,0.7620185849815516,343.26800000000003,4.142500000000003,0,2,4,3,1121.0,106,15.6,1.5348199239666305,14.485718476967715,7.009482089675839,4.256413448912104
Brc1ccc(CNC2CCN(Cc3ccccc3)C2)cc1,6.188424994129407,0.8864935229195251,345.284,3.813200000000003,1,2,5,3,1121.0,106,15.27,1.451712085620296,14.763801473252023,7.209084008379485,4.401581828559225
C#CCCOc1cnc(C(=O)Nc2cccc([C@]3(C)CCSC(N)=N3)c2)cn1,6.886056647693163,0.5759182450969763,395.48800000000017,2.7978000000000005,2,7,6,3,2380.0,142,102.49,1.6931000927892963,19.704437717066924,8.758855004764952,4.809218576876111
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,6.337242168318426,0.31271309706795,443.63500000000016,5.314500000000006,0,3,10,4,4233.0,168,20.64,1.1976767134329402,23.41925511169673,11.407475312765508,6.405972415049599
C#CCN(C)Cc1ccc(O)c2ncccc12,5.795880017344075,0.8131990007588261,226.279,2.0054,1,3,3,2,520.0,84,36.36,2.418730086632557,11.435844282190622,4.855620041407007,2.376910789551397
C#CCNC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc2c3c(c1)c(CC)cn3CCS(=O)(=O)N2C,7.0323975662867095,0.3026928045514932,508.6440000000004,1.9080999999999992,3,5,9,4,3989.0,190,103.66999999999996,1.6965202084852635,25.763371875565564,10.74494881201322,5.260017089843749
C#CCNC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc2c3c(c1)c(CC)cn3CCS(=O)(=O)O2,6.443697499232712,0.2375162969029412,495.6010000000004,1.8506999999999991,3,6,9,4,3758.0,184,109.65999999999998,1.6606312133662695,24.79349241508124,10.522281981624491,5.6757396643046905
C#CCNC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc2c3c(cn(CC)c3c1)CCS(=O)(=O)N2C,7.771816983435478,0.3026928045514932,508.6440000000004,1.9080999999999992,3,5,9,4,3989.0,190,103.66999999999996,1.6965202084852635,25.763371875565564,10.74494881201322,5.260017089843749
