SMILES,WienerIndex,ZagrebIndex,TPSA,BalabanIndex,Kappa1,Kappa2,Kappa3,MolecularWeight,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,NumRings,QED
CC(C)COCC(CN(CC1=CC=CC=C1)C1=CC=CC=C1)N1CCCC1,1895.0,132,15.71,1.735119470509105,19.908794575753564,10.482776036995189,6.369034040203015,366.5490000000002,4.830200000000005,0,3,10,3,0.5988605961954666
CN(C)CCOC1=CC=C(C=C1)C(=C(\CCCl)C1=CC=CC=C1)\C1=CC=CC=C1,2330.0,142,12.47,2.0213468643223833,21.165898455959802,10.847804995000011,5.961916895376913,405.96900000000005,6.215000000000006,0,2,9,3,0.30945335399668383
CC(CC(C1=CC=CC=C1)C1=CC=CC=C1)NC(C)(C)C,934.0,104,12.03,2.2141712757468155,15.782545174932716,6.906843880182502,5.019335469998782,281.44300000000004,4.985200000000004,1,1,5,2,0.8142368841249362
CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C1=CC=CC=C1)C1=CC=CC=C1,2488.0,142,12.47,1.8578317330150196,21.165898455959802,10.847804995000011,5.723225909677843,405.9690000000001,6.562600000000007,0,2,9,3,0.3734283215865667
CC(CN1C2=CC=CC=C2SC2=C1C=CC=C2)N(C)C,744.0,106,6.48,2.0315697070684253,13.529274335340189,5.5050104357236735,2.433756182332631,284.428,4.239400000000004,0,3,3,3,0.8321538928687809
CCN(CC)CCCN(C1CC2=C(C1)C=CC=C2)C1=CC=CC=C1,1395.0,120,6.48,1.6966368802021723,17.037032989549893,8.343088615408353,3.9901234567901227,322.49600000000004,4.392300000000004,0,2,8,3,0.7109023456343512
COC1=CC2=C(SC3=CC=CC=C3N2C[C@H](C)CN(C)C)C=C1,1130.0,120,15.71,1.9870942688955264,16.216343556988203,6.850695679146933,3.48376861569279,328.4810000000001,4.495600000000004,0,4,5,3,0.8027021109078472
C[C@H](CC1=CC=CC=C1)N(C)CC#C,337.0,62,3.24,2.4924781054434817,10.818492935635792,5.46596949475999,3.237538667639422,187.28599999999994,2.1826,0,1,4,1,0.6530251998867977
CN(C\C=C\C#CC(C)(C)C)CC1=C2C=CC=CC2=CC=C1,1273.0,108,3.24,1.9777134332849182,16.332574442048834,7.292121272244438,5.057600097744207,291.438,4.877300000000004,0,1,4,2,0.7258618266744273
CC(COC1=CC=CC=C1)N(CCCl)CC1=CC=CC=C1,1046.0,98,12.47,1.9041693414958267,15.870906921468439,8.705162031710836,5.40833237400151,303.83299999999997,4.194900000000003,0,2,8,2,0.6778826115024819
C\C(\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)CCCC1(C)C,7984.0,194,0.0,1.8856379790499538,33.3470037553803,15.80332830428255,11.32405430008176,536.8880000000003,12.605799999999977,0,0,10,2,0.24351270202197942
CN(C)CCC=C1C2=CC=CC=C2CCC2=C1C=CC=C2,882.0,108,3.24,2.065949702723201,14.093099980398282,6.275955030244733,3.0846273208160424,277.41099999999994,4.168600000000003,0,1,3,3,0.8136783893547586
CN(C)C1=CC=C2C(C=CC(\C=C\C3=C(C)N(C(C)=C3)C3=CC=CC=C3)=[N+]2C)=C1,2463.0,156,12.05,1.7031022208859143,19.00679023622427,7.591373851977636,3.5609027583107578,382.53100000000006,5.308240000000006,0,1,4,4,0.4357934712440574
CN(C)CC\C=C1\C2=CC=CC=C2SC2=C1C=C(Cl)C=C2,896.0,110,3.24,2.062890975135638,14.706242135858965,6.266454204965884,3.1796920280138097,315.869,5.188000000000004,0,2,3,3,0.6542213588943051
CN(C)CC\C=C1/C2=CC=CC=C2CSC2=CC=CC=C12,882.0,108,3.24,2.0659497027232017,14.428222481005053,6.50379711452785,3.2240662322812885,295.451,4.675700000000004,0,2,3,3,0.8088707188299813
CC(CN(C)C)CN1C2=CC=CC=C2CCC2=C1C=CC=C2,979.0,114,6.48,1.9850866170180106,15.109422936449963,6.533333333333334,3.1720049014987266,294.442,4.121000000000004,0,2,4,3,0.8366473557753504
CN(C)CCC=C1C2=CC=CC=C2C=CC2=C1C=CC=C2,882.0,108,3.24,2.1007180530682668,13.84446029858634,6.108267125022063,2.98274411929076,275.395,4.553800000000004,0,1,3,3,0.6773504085567708
CCCCCCCCCCCCCCCCCCCCCCO,2024.0,86,20.23,2.9219621943934726,22.96,21.96,21.960000000000004,326.60900000000004,7.800600000000008,1,1,20,0,0.226191976485649
